Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
1995-96,Art And Biology Seminar In Australia & New Zealand,Fred Hagstrom & Gary Wagenbach,Winter,49,Australia,"Australia, New Zealand"
1995-96,Economics Seminar In Cambridge,H. Scott Bierman,Summer,21,UK,UK
1995-96,English Seminar In London,Tim Raylor,Spring,23,UK,UK
1995-96,French Language In Pau I,Debra Latimer-Smith,Spring,17,France,France
1995-96,French Seminar In Paris,Scott Carpenter,Spring,25,France,France
1995-96,Geology Seminar In Italy,David Bice,Fall,24,Italy,Italy
1995-96,German Seminar In Munich,Julie Klassen,Fall,16,Germany,Germany
1995-96,Political Science Seminar In Maastricht,Norman Vig,Spring,17,The Netherlands,The Netherlands
1995-96,Spanish Seminar In Morelia,Humberto Huergo,Winter,15,Mexico,Mexico
