Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
2007-08,Economics Seminar In Cambridge,Mike Hemesath,Summer,26,UK,UK
2007-08,El Mundo Maya: Anthropology In Guatemala And Chiapas - A Field Research Seminar,Jay Levi,Winter,12,Guatemala,"Guatemala, Mexico"
2007-08,English Literature And Theater In London,Gregory Blake Smith,Spring,23,UK,UK
2007-08,Francophone Studies Seminar In Mali,Chérif Keïta,Winter,25,Mali,Mali
2007-08,French Studies In Paris,Cathy Yandell,Spring,22,France,France
2007-08,Geology Seminar In Italy,Cameron Davidson,Fall,17,Italy,Italy
2007-08,German Seminar In Berlin,Sigrun Leonhard,Fall,15,Germany,Germany
2007-08,Irish Literature And Culture In Ireland,Constance Walker,Summer,20,Ireland,Ireland
2007-08,Latin American Field Research In Brazil,Al Montero & Silvia L. López,Winter Break,11,Brazil,Brazil
2007-08,Marine Ecology In Australia,Phil Camill,Winter,26,Australia,Australia
2007-08,Middle East Mosaics,"Rob Oden, Dana Strand, & Steve Strand",Winter,32,"Egypt, Morocco, Turkey","Egypt, Morocco, Turkey"
2007-08,Photography In Hawaii,Linda Rossi,Winter Break,10,USA,USA
2007-08,Political Science Seminar In Maastricht,Al Montero,Spring,19,The Netherlands,The Netherlands
2007-08,Spanish Seminar In Madrid,Humberto Huergo,Fall,19,Spain,Spain
2007-08,Spanish Seminar In Puebla,José Cerna Bazan,Spring,6,Mexico,Mexico
