Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
2000-01,American Studies Seminar In California,Mike Kowalewski,Winter,23,USA,USA
2000-01,Economics Seminar In Cambridge,Martha Paas,Summer,21,UK,UK
2000-01,English Literature And Theater In London,Chiara Briganti,Fall,21,UK,UK
2000-01,French Seminar In Paris,Dana Strand,Spring,17,France,France
2000-01,Geology In The Bahamas,Clint Cowan,Winter Break,12,Bahamas,Bahamas
2000-01,German Seminar In Nuremberg,Roger Paas,Fall,13,Germany,Germany
2000-01,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,20,USA,USA
2000-01,Posc In China/mexico,Roy Grow & Al Montero,Winter Break,20,"China/Mexico (10 in China, 10 in Mexico)","China/Mexico (10 in China, 10 in Mexico)"
2000-01,Russian Seminar In Moscow,Diane Nemec-Ignashev,Spring,13,Russia,Russia
2000-01,Spanish Seminar In Morelia,Diane Pearsall,Winter,11,Mexico,Mexico
2000-01,Studio Art Seminar In Nz & Australia,Fred Hagstrom,Winter,26,"Australia, New Zealand","Australia, New Zealand"
2000-01,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,14,Costa Rica,Costa Rica
