Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
1987-88,Art History In Greece,Dale Haworth,Fall,22,Greece,Greece
1987-88,Economics Seminar In Cambridge,Stephen Strand,Summer,21,UK,UK
1987-88,English Seminar In London,Ruth Weiner,Fall,25,UK,UK
1987-88,French Language In Pau I,Françoise Defrecheux,Spring,22,France,France
1987-88,French Language In Pau II,Joe Krause,Winter/Spring,18,France,France
1987-88,German Seminar In Munich,Julie Klassen,Spring,20,Germany,Germany
1987-88,Interdisciplinary In Australia,Keith Harrison & Gary Wagenbach,Spring,41,Australia,Australia
1987-88,International Relations Seminar In Geneva,Hartley Clark,Summer,26,Switzerland,Switzerland
1987-88,Spanish Seminar In Morelia,Diane Pearsall,Winter,14,Mexico,Mexico
