Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
1997-98,American Studies Seminar In California,Mike Kowalewski,Winter,25,USA,USA
1997-98,Economics Seminar In Cambridge,George Lamson,Summer,21,UK,UK
1997-98,English Seminar In London,Frank Morral,Spring,21,UK,UK
1997-98,French Language In Pau I,Éva Pósfay,Spring,15,France,France
1997-98,French Seminar In Paris,Cathy Yandell,Spring,23,France,France
1997-98,Geology Seminar In Italy,David Bice,Fall,25,Italy,Italy
1997-98,"German Seminar In Graz, Austria",Anne Ulmer,Fall,17,Austria,Austria
1997-98,Marine Biology Seminar In Australia & New Zealand,Gary  Wagenbach,Winter,25,Australia,"Australia, New Zealand"
1997-98,"Political Science Seminar In Washington, D.C.",Steven Schier,Fall,20,USA,USA
1997-98,Spanish Seminar In Morelia,Humberto Huergo,Winter,13,Mexico,Mexico
