Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
2011-12,Agricultural Sustainability In The Us & China,David Hougen-Eitzman,Winter Break,12,China,China
2011-12,Ecology In Australia,Annie Bosacker,Winter,26,Australia,Australia
2011-12,Economics Seminar In Cambridge,Aaron Swoboda,Summer,23,UK,UK
2011-12,El Mundo Maya: Anthropology In Guatemala And Chiapas - A Field Research Seminar,Jay Levi,Winter,12,Guatemala,"Guatemala, Mexico"
2011-12,English Literature And Theater In London,Peter Balaam,Spring,15,UK,UK
2011-12,Faith & Fiction: National Identity In Israel,Stacy Beckwith & Louis Newman,Winter Break,15,Israel,Israel
2011-12,Francophone Studies Seminar In Mali,Chérif Keïta,Winter,20,Mali,Mali
2011-12,French Studies In Paris,Cathy Yandell,Spring,22,France,France
2011-12,Geology In New Zealand,Mary Savina & Sarah Titus,Winter,21,New Zealand,New Zealand
2011-12,German Seminar In Berlin,Kai Herklotz,Fall,12,Germany,Germany
2011-12,Irish Literature And Culture In Ireland,Mike Kowalewski,Summer,18,Ireland,Ireland
2011-12,"Japanese Linguistics And Culture In Kyoto, Japan",Mike Flynn,Spring,18,Japan,Japan
2011-12,Latin American Field Research In Brazil,Al Montero & Silvia L. López,Winter Break,11,Brazil,Brazil
2011-12,"Political Science Seminar In Washington, D.C.",Barbara Allen & Greg Marfleet,Winter,22,USA,USA
2011-12,Russian Language & Literature In Moscow,Diane Nemec-Ignashev,Spring,11,Russia,Russia
2011-12,"Society, Culture, And Language In Peru",José Cerna Bazan,Spring,22,Peru,Peru
2011-12,Spanish Seminar In Madrid,Jorge Brioso,Fall,16,Spain,Spain
