Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
1981-82,English Seminar In London,Bob Tisdale,Winter,25,UK,UK
1981-82,French Language In Pau I,Michel Monnot,Spring,24,France,France
1981-82,French Language In Pau II,Michel Monnot,Winter/Spring,23,France,France
1981-82,German Seminar In Munich,Julie Klassen,Fall,21,Germany,Germany
1981-82,International Relations Seminar In Geneva,Hartley Clark,Fall,28,Switzerland,Switzerland
1981-82,Marine Biology Seminar In California,Gary Wagenbach,Fall,22,USA,USA
1981-82,Spanish Seminar In Morelia,Pat Dust,Winter,15,Mexico,Mexico
