Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
1998-99,Economics Seminar In Cambridge,Mark Kanazawa,Summer,24,UK,UK
1998-99,English Seminar In London,Susan Jaret McKinstry,Fall,24,UK,UK
1998-99,French Language In Pau I,Christine Lac,Spring,23,France,France
1998-99,French Seminar In Paris,Scott Carpenter,Spring,22,France,France
1998-99,German Seminar In Berlin,Sigrun Leonhard,Fall,25,Germany,Germany
1998-99,Political Science Seminar In Maastricht,Norman Vig,Spring,20,The Netherlands,The Netherlands
1998-99,Russian Seminar In Moscow,Diane Nemec-Ignashev,Spring,23,Russia,Russia
1998-99,Spanish Seminar In Morelia,Diane Pearsall,Winter,18,Mexico,Mexico
1998-99,Studio Art Seminar In Australia/new Zealan,Fred Hagstrom,Winter,25,"Australia, New Zealand","Australia, New Zealand"
1998-99,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,NDA,Costa Rica,Costa Rica
