Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
1986-87,Economics Seminar In Cambridge,George Lamson,Summer,21,UK,UK
1986-87,English Seminar In London,Frank Morral,Fall,25,UK,UK
1986-87,French Language In Pau I,Chérif Keïta,Spring,22,France,France
1986-87,French Language In Pau II,Joe Krause,Winter/Spring,4,France,France
1986-87,German Seminar In West Berlin,Sigrun Leonhard,Fall,20,Germany,Germany
1986-87,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,20,USA,USA
1986-87,Spanish Seminar In Morelia,Becky Boling,Winter,14,Mexico,Mexico
