Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
1983-84,Economics Seminar In Cambridge,Martha Paas,Summer,21,UK,UK
1983-84,English Seminar In London,George Soule,Winter,26,UK,UK
1983-84,French Language In Pau I,Debbie Glassman,Spring,24,France,France
1983-84,French Language In Pau II,Gail Schwab,Winter/Spring,9,France,France
1983-84,Geology In Death Valley,Mary Savina & M. Hempton,Winter,24,USA,USA
1983-84,German Seminar In Nuremberg,Roger Paas,Fall,20,Germany,Germany
1983-84,International Relations Seminar In Geneva,Hartley Clark,Summer,25,Switzerland,Switzerland
1983-84,Marine Biology Seminar In California,Gary Wagenbach,Fall,22,USA,USA
1983-84,Spanish Seminar In Morelia,Becky Boling,Winter,9,Mexico,Mexico
