Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
2013-14,Agricultural Sustainability In The Us & China,David Hougen-Eitzman,Winter Break,12,China,China
2013-14,Biology In Australia & New Zealand,"Mark McKone, Matt Rand, Dan Hernandez",Winter,25,"Australia, New Zealand","Australia, New Zealand"
2013-14,Economics Seminar In Cambridge,Mark Kanazawa,Summer,23,UK,UK
2013-14,El Mundo Maya: Anthropology In Guatemala And Chiapas - A Field Research Seminar,Jay Levi,Winter,11,Guatemala,"Guatemala, Mexico"
2013-14,English Literature And Theater In London,Pierre Hecker,Winter,21,UK,UK
2013-14,French Studies In Paris,Dana Strand,Spring,19,France,France
2013-14,Geology In New Zealand,Clint Cowan & Sarah Titus,Winter,24,New Zealand,New Zealand
2013-14,German Seminar In Berlin,Sigrun Leonhard,Fall,15,Germany,Germany
2013-14,Identity And Belonging In The New Europe (posc),Dev Gupta,Spring,24,"Scotland, UK; Hungary","Scotland, UK; Hungary"
2013-14,Irish Literature And Culture In Ireland,Greg Hewett,Summer,18,Ireland,Ireland
2013-14,"Japanese Linguistics And Culture In Kyoto, Japan",Mike Flynn,Spring,13,Japan,Japan
2013-14,Moscow & Beyond: Russian Language And Cultural Studies,Diane Nemec-Ignashev,Spring,10,Russia,Russia
2013-14,Spanish Seminar In Madrid,Humberto Huergo,Fall,20,Spain,Spain
2013-14,Sport And Globalization In London And Seville,Bob Carlson,Winter,21,UK,"UK, Spain"
2013-14,Wilderness Studies In The Grand Canyon,George Vrtis,Spring Break,14,USA,USA
