Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
2002-03,Chinese Seminar In Tianjin,Qiguang Zhao,Fall,25,China,China
2002-03,Community Development And Cultural Empowerment In Guatemala,Bev Nagel,Winter Break,16,Guatemala,Guatemala
2002-03,Economics Seminar In Cambridge,George Lamson,Summer,24,UK,UK
2002-03,English Literature And Theater In London,Ruth Weiner,Winter,22,UK,UK
2002-03,Field Investigations In Modern Carbonate Environments In The Bahamas,Clint Cowan,Winter Break,12,Bahamas,Bahamas
2002-03,French Studies In Paris,Éva Pósfay,Spring,14,France,France
2002-03,German Seminar In Berlin,Sigrun Leonhard,Fall,11,Germany,Germany
2002-03,Political Economy Seminar In Beijing,Roy Grow,Spring,35,China,China
2002-03,Russian Seminar In Moscow,Diane Nemec Ignashev,Spring,12,Russia,Russia
2002-03,Spanish Seminar In Madrid,Humberto Huergo,Fall,18,Spain,Spain
2002-03,Spanish Seminar In Morelia,José Cerna Bazan,Winter,19,Mexico,Mexico
2002-03,Studio Art Seminar In Nz & Australia,Fred Hagstrom,Winter,26,New Zealand,"Australia, Cook Islands, New Zealand"
2002-03,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,14,Costa Rica,Costa Rica
