Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
2004-05,American Studies Seminar In California,Mike Kowalewski,Summer,14,USA,USA
2004-05,Art History In Amsterdam,Alison Kettering,Winter Break,13,The Netherlands,The Netherlands
2004-05,Chinese Studies In Tianjin,Qiguang Zhao,Fall,25,China,China
2004-05,Economics Seminar In Cambridge,Nathan Grawe,Summer,24,UK,UK
2004-05,English & Psychology Seminar In London,Constance Walker & Neil Lutsky,Winter,34,UK,UK
2004-05,French Studies In Paris,Scott Carpenter,Spring,24,France,France
2004-05,German Seminar In Munich & Wittenberg,Julie Klassen,Fall,11,Germany,Germany
2004-05,Political Science Seminar In Maastricht,Al Montero,Spring,26,The Netherlands,The Netherlands
2004-05,Russian Seminar In Moscow,Diane Nemec Ignashev,Spring,12,Russia,Russia
2004-05,Spanish Seminar In Madrid,Humberto Huergo,Fall,17,Spain,Spain
2004-05,Spanish Seminar In Morelia,Diane Pearsall,Winter,18,Mexico,Mexico
2004-05,Studio Art Seminar In Nz & Australia,Fred Hagstrom,Winter,26,New Zealand,"Australia, Cook Islands, New Zealand"
2004-05,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,14,Costa Rica,Costa Rica
