Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
1988-89,Archeology & Anthropology In Nepal,James F. Fisher & Nancy Wilkie,Winter,16,Nepal,Nepal
1988-89,Economics Seminar In Cambridge,Martha Paas,Summer,22,UK,UK
1988-89,English Seminar In Dublin,James McDonnell,Spring,25,Ireland,Ireland
1988-89,English Seminar In London,Ed Sostek,Fall,25,UK,UK
1988-89,French Language In Pau I,Françoise Defrecheux,Spring,21,France,France
1988-89,French Language In Pau II,Patrick Lobert,Winter/Spring,9,France,France
1988-89,German Seminar In Nuremberg,Roger Paas,Fall,16,Germany,Germany
1988-89,Interdisciplinary Seminar In Paris,Geneviève Soulas-Link & Carl Weiner,Spring,22,France,France
1988-89,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,20,USA,USA
1988-89,Spanish Seminar In Morelia,Becky Boling,Winter,14,Mexico,Mexico
