Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
1984-85,Art History In Greece,Dale Haworth,Fall,22,Greece,Greece
1984-85,Economics Seminar In Cambridge,Martha Paas,Summer,21,UK,UK
1984-85,English Seminar In London,Wayne Carver,Fall,25,UK,UK
1984-85,French Language In Pau I,Dana Strand,Spring,25,France,France
1984-85,French Language In Pau II,Virginia Marino,Winter/Spring,11,France,France
1984-85,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,25,USA,USA
1984-85,Spanish Seminar In Morelia,Becky Boling,Winter,17,Mexico,Mexico
