Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
2020-21,Climate Change And Human Health In Ethiopia: From Science To Practice,Deborah Gross & Tsegaye Nega,Winter Break,13,USA,USA
2020-21,"Public Health In Practice In The Twin Cities And Washington, D.C.",Debby Walser-Kuntz,Winter Break,11,USA,USA
