Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
1991-92,Advanced French Seminar In Paris,Dana Strand & Steve Strand,Spring,18,France,France
1991-92,Biology And Geology Seminar In Australia,Gary Wagenbach & Shelby Boardman,Fall,45,Australia,Australia
1991-92,Economics Seminar In Cambridge,George Lamson,Summer,22,UK,UK
1991-92,English Seminar In London,Vern Bailey,Winter,26,UK,UK
1991-92,French Language In Pau I,Scott Carpenter,Spring,22,France,France
1991-92,German Seminar In Munich,Julie Klassen,Fall,18,Germany,Germany
1991-92,International Relations Seminar In Geneva,Hartley Clark & Gary Wynia,Summer,40,Switzerland,Switzerland
1991-92,Political Economy Seminar In Beijing,Roy Grow,Spring,37,China,China
1991-92,Spanish Seminar In Morelia,Humberto Huergo,Winter,18,Mexico,Mexico
