Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
1992-93,Art History In Greece,Dale Haworth,Fall,18,Greece,Greece
1992-93,Economics Seminar In Cambridge,Martha Paas,Summer,21,UK,UK
1992-93,English Seminar In Dublin,James McDonnell,Summer,22,Ireland,Ireland
1992-93,English Seminar In London,George Soule,Fall,19,UK,UK
1992-93,French Language In Pau I,Éva Pósfay,Spring,20,France,France
1992-93,French Seminar In Paris,Geneviève Soulas-Link,Spring,16,France,France
1992-93,German Seminar In Nuremberg,Roger Paas,Fall,17,Germany,Germany
1992-93,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,20,USA,USA
1992-93,Spanish Seminar In Morelia,Humberto Huergo,Winter,17,Mexico,Mexico
1992-93,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,NDA,Costa Rica,Costa Rica
