Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
2001-02,Art History In Amsterdam,Alison Kettering,Winter Break,11,The Netherlands,The Netherlands
2001-02,Economics Seminar In Cambridge,H. Scott Bierman,Summer,22,UK,UK
2001-02,English Literature And Theater In London,Gregory Blake Smith,Spring,15,UK,UK
2001-02,English Seminar In Ireland,Frank Morral,Summer,21,Ireland,Ireland
2001-02,Francophone Studies Seminar In Mali,Chérif Keïta,Winter,18,Mali,Mali
2001-02,French Seminar In Paris,Scott Carpenter,Spring,18,France,France
2001-02,Geology Seminar In Italy,Dave Bice,Fall,22,Italy,Italy
2001-02,"German Seminar In Graz, Austria",Anne Ulmer,Fall,9,Austria,Austria
2001-02,"History, Memory, And The Black Atlantic",Harry Williams,Winter Break,10,Ghana,Ghana
2001-02,Marine Biology Seminar In Australia & New Zealand,Gary Wagenbach,Winter,25,Australia,"Australia, New Zealand"
2001-02,Political Science Seminar In Maastricht,Al Montero,Spring,23,The Netherlands,The Netherlands
2001-02,Spanish Seminar In Morelia,Becky Boling,Winter,19,Mexico,Mexico
