Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
2008-09,Biodiversity & Conservation In Tanzania,Tsegaye Nega,Winter Break,15,Tanzania,Tanzania
2008-09,Chinese Studies In Tianjin,Qiguang Zhao,Fall,26,China,China
2008-09,Dream And Reality In Turn-of-the-century Vienna,Anne Ulmer,Winter Break,8,Austria,Austria
2008-09,Economics Seminar In Cambridge,Pavel Kapinos,Summer,23,UK,UK
2008-09,English Literature And Theater In London,Greg Hewett,Winter,24,UK,UK
2008-09,Environmental Justice In New Orleans,Kim Smith,Winter Break,15,USA,USA
2008-09,French Studies In Paris,Scott Carpenter,Spring,21,France,France
2008-09,Jazz History In Nyc,Steve Kelly,Winter Break,9,USA,USA
2008-09,New Media: Theory And Practice In Europe,John Schott,Spring,24,USA,USA
2008-09,Political Economy Seminar In Beijing,Roy Grow,Spring,36,China,China
2008-09,Russian Language & Literature In Moscow,Diane Nemec Ignashev,Spring,14,Russia,Russia
2008-09,Spanish Seminar In Madrid,Palmar Alvarez-Blanco,Fall,16,Spain,Spain
2008-09,Spanish Seminar In Mexico,José Cerna Bazan,Winter,11,Mexico,Mexico
2008-09,Studio Art In The South Pacific,Fred Hagstrom,Winter,27,New Zealand,"Australia, Cook Islands, New Zealand"
2008-09,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,15,Costa Rica,Costa Rica
