Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
2005-06,Coastal Biogeoscience Seminar In Australia,Phil Camill & Clint Cowan,Winter,32,Australia,Australia
2005-06,Dream And Reality In Turn-of-the-century Vienna,Anne Ulmer,Winter Break,13,Austria,Austria
2005-06,Economics Seminar In Cambridge,Mike Hemesath,Summer,24,UK,UK
2005-06,English Literature And Theater In London,Nancy Cho,Spring,18,UK,UK
2005-06,Francophone Studies Seminar In Mali,Chérif Keïta,Winter,22,Mali,Mali
2005-06,French Studies In Paris,Éva Pósfay,Spring,17,France,France
2005-06,Geology Seminar In Italy,Cameron Davidson,Fall,16,Italy,Italy
2005-06,Irish Literature And Culture In Ireland,Greg Hewett,Summer,25,Ireland,Ireland
2005-06,Photography In Hawaii,Linda Rossi,Winter Break,10,USA,USA
2005-06,Political Economy Seminar In Beijing,Roy Grow,Spring,35,China,China
2005-06,Social & Cultural Field Research In Guatemala,Jay Levi,Winter,10,Guatemala,Guatemala
2005-06,Spanish Seminar In Madrid,Humberto Huergo,Fall,16,Spain,Spain
2005-06,Spanish Seminar In Puebla,Silvia L. López,Winter,11,Mexico,Mexico
