Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
2023/03,2023/06,(beyond) Nationalism And Xenophobia In Central And Eastern Europe,Mihaela Czobor-Lupp,Spring,13 projected,Romania,Romania
2022/12,2023/03,Climate Change And Human Health In Ethiopia: From Science To Practice,Deborah Gross & Tsegaye Nega,Winter Break,12,Ethiopia,Ethiopia
2022/08,2022/11,Cross-cultural Psychology In Prague,Ken Abrams,Fall,20,Czech Republic,Czech Republic
2022/06,2022/08,Economics Seminar In Cambridge,Michael Hemesath,Summer,17,UK,"UK, Belgium"
2022/12,2023/03,"Food, Forests, And Resliance:  Systems Of Socio-ecological Sustainability In Oaxaca, Mexico",Constanza Ocampo-Raeder & Dan Hernández,Winter Break,18,Mexico,Mexico
2023/03,2023/06,French And Francophone Studies In Paris,Scott Carpenter,Spring,18 projected,France,France
2022/12,2023/03,Geology In New Zealand,Cam Davidson & Sarah Titus,Winter,24,New Zealand,New Zealand
2022/08,2022/11,"Gep Buddhist Studies In Bodh Gaya, India",Arthur McKeown,Fall Semester,6,India,India
2022/08,2022/11,Gep Women's And Gender Studies In Europe,Iveta Jusova,Fall Semester,7,Poland,"Germany, Czech Republic, Netherlands, Poland"
2022/08,2022/11,German Studies In Berlin,Kiley Kost,Fall,17,Germany,Germany
2022/06,2022/08,History Of Computing In England,David Liben-Nowelll,Summer,24,UK,UK
2023/03,2023/06,"History, Religion, And Urban Change In Medieval And Renaissance Rome",Victoria Morse & Bill North,Spring,27 projected,Italy,Italy
2022/12,2023/03,India: Globalization And Local Responses,Meera Sehgal & Brendan LaRocque,Winter,13,India,India
2023/03,2023/06,"Linguistics And Culture In Kyoto, Japan",Mike Flynn,Spring,19 projected,Japan,Japan
2022/12,2023/03,"Living London: City, Scene, Anthropocene",Peter Balaam,Winter,26,UK,UK
2023/03,2023/06,Russian At A Cultural Crossroad,Diane Nemec Ignshev & Victoria Thorstensson,Spring,12 projected,Qazaqstan,Qazaqstan
2022/08,2022/11,Spanish Studies In Madrid,Humberto Huergo,Fall,20,Spain,Spain
2022/12,2023/03,Studio Art In The South Pacific,Eleanor Jensen,Winter,26,New Zealand,"Australia, Cook Islands, New Zealand"
2022/12,2023/03,Visions Of California: Searching For The Golden State,Mike Kowalewski,Winter,13,USA,USA
