Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
2006/12,2007/03,Art History In Amsterdam,Alison Kettering,Winter Break,13,The Netherlands,The Netherlands
2006/08,2006/11,Chinese Studies In Tianjin,Qiguang Zhao,Fall,26,China,China
2006/12,2007/03,Dance In Jamaica,Mary Easter,Winter Break,9,Jamaica,Jamaica
2006/06,2006/08,Economics Seminar In Cambridge,Tammy Feldman,Summer,25,UK,UK
2007/03,2007/06,English Literature And Theater In London,Elizabeth McKinsey,Spring,20,UK,UK
2007/03,2007/06,French Studies In Paris,Dana Strand,Spring,18,France,France
2006/12,2007/03,Jazz History In Nyc,Steve Kelly,Winter Break,8,USA,USA
2006/08,2006/11,New Media In Nyc & Europe,John Schott,Fall,22,USA,"Germany, Netherlands, United Kingdom, USA"
2006/12,2007/03,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,20,USA,USA
2007/03,2007/06,Russian Seminar In Moscow,Diane Nemec Ignashev,Spring,10,Russia,Russia
2006/08,2006/11,Spanish Seminar In Madrid,Humberto Huergo,Fall,19,Spain,Spain
2006/12,2007/03,Spanish Seminar In Morelia,Diane Pearsall,Winter,11,Mexico,Mexico
2006/12,2007/03,Studio Art Seminar In Nz & Australia,Fred Hagstrom,Winter,26,New Zealand,"Australia, Cook Islands, New Zealand"
2006/12,2007/03,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,15,Costa Rica,Costa Rica
