Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
2012/12,2013/03,Biogeoscience In Belize: Tropical Marine And Marginal Marine Ecosystems,Clint Cowan ,Winter Break,13,Belize,Belize
2012/08,2012/11,Chinese Studies In China,Qiguang Zhao,Fall,25,China,China
2012/12,2013/03,Conservation And Development In Tanzania And Kenya,Tsegaye Nega,Winter,15,Tanzania,"Kenya, Tanzania"
2012/08,2012/11,Cross-cultural Psychology In Prague,Ken Abrams,Fall,18,Czech Republic,Czech Republic
2012/12,2013/03,Dream And Reality In Turn-of-the-century Vienna,Anne Ulmer,Winter Break,6,Austria,Austria
2012/12,2013/03,Ecology In Australia,Annie Bosacker,Winter,25,Australia,Australia
2012/06,2012/08,Economics Seminar In Cambridge,Mike Hemesath & Steve Strand,Summer,25,UK,UK
2013/03,2013/06,French Studies In Paris,Scott Carpenter,Spring,16,France,France
2013/03,2013/06,"History, Religion, And Urban Change In Medieval And Renaissance Rome",Victoria Morse & Bill North,Spring,25,Italy,Italy
2012/12,2013/03,Microeconomic Development In Bangladesh,Faress Bhuiyan,Winter Break,16,Bangladesh,Bangladesh
2013/03,2013/06,New Media: Theory And Practice In Europe,John Schott,Spring,22,Spain,"The Netherlands, Spain, Turkey"
2013/03,2013/06,"Society, Culture, And Language In Peru",José Cerna Bazan,Spring,20,Peru,Peru
2012/08,2012/11,Spanish Seminar In Madrid,Humberto Huergo,Fall,17,Spain,Spain
2012/12,2013/03,Studio Art In The South Pacific,Fred Hagstrom,Winter,26,New Zealand,"Australia, Cook Islands, New Zealand"
2012/12,2013/03,Voice And Visibility In Afro – Arab Women’s History In Dubai Uae,Thabiti Willis,Winter Break,16,United Arab Emirates,United Arab Emirates
