Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
1998/06,1998/08,Economics Seminar In Cambridge,Mark Kanazawa,Summer,24,UK,UK
1998/08,1998/11,English Seminar In London,Susan Jaret McKinstry,Fall,24,UK,UK
1999/03,1999/06,French Language In Pau I,Christine Lac,Spring,23,France,France
1999/03,1999/06,French Seminar In Paris,Scott Carpenter,Spring,22,France,France
1998/08,1998/11,German Seminar In Berlin,Sigrun Leonhard,Fall,25,Germany,Germany
1999/03,1999/06,Political Science Seminar In Maastricht,Norman Vig,Spring,20,The Netherlands,The Netherlands
1999/03,1999/06,Russian Seminar In Moscow,Diane Nemec-Ignashev,Spring,23,Russia,Russia
1998/12,1999/03,Spanish Seminar In Morelia,Diane Pearsall,Winter,18,Mexico,Mexico
1998/12,1999/03,Studio Art Seminar In Australia/new Zealan,Fred Hagstrom,Winter,25,"Australia, New Zealand","Australia, New Zealand"
1998/12,1999/03,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,NDA,Costa Rica,Costa Rica
