Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
2013/12,2014/03,Agricultural Sustainability In The Us & China,David Hougen-Eitzman,Winter Break,12,China,China
2013/12,2014/03,Biology In Australia & New Zealand,"Mark McKone, Matt Rand, Dan Hernandez",Winter,25,"Australia, New Zealand","Australia, New Zealand"
2013/06,2013/08,Economics Seminar In Cambridge,Mark Kanazawa,Summer,23,UK,UK
2013/12,2014/03,El Mundo Maya: Anthropology In Guatemala And Chiapas - A Field Research Seminar,Jay Levi,Winter,11,Guatemala,"Guatemala, Mexico"
2013/12,2014/03,English Literature And Theater In London,Pierre Hecker,Winter,21,UK,UK
2014/03,2014/06,French Studies In Paris,Dana Strand,Spring,19,France,France
2013/12,2014/03,Geology In New Zealand,Clint Cowan & Sarah Titus,Winter,24,New Zealand,New Zealand
2013/08,2013/11,German Seminar In Berlin,Sigrun Leonhard,Fall,15,Germany,Germany
2014/03,2014/06,Identity And Belonging In The New Europe (posc),Dev Gupta,Spring,24,"Scotland, UK; Hungary","Scotland, UK; Hungary"
2013/06,2013/08,Irish Literature And Culture In Ireland,Greg Hewett,Summer,18,Ireland,Ireland
2014/03,2014/06,"Japanese Linguistics And Culture In Kyoto, Japan",Mike Flynn,Spring,13,Japan,Japan
2014/03,2014/06,Moscow & Beyond: Russian Language And Cultural Studies,Diane Nemec-Ignashev,Spring,10,Russia,Russia
2013/08,2013/11,Spanish Seminar In Madrid,Humberto Huergo,Fall,20,Spain,Spain
2013/12,2014/03,Sport And Globalization In London And Seville,Bob Carlson,Winter,21,UK,"UK, Spain"
2014/03,2014/06,Wilderness Studies In The Grand Canyon,George Vrtis,Spring Break,14,USA,USA
