Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
2003/12,2004/03,Animal Biology In The Galapagos,Matt Rand,Winter Break,15,Ecuador,Ecuador
2003/06,2003/08,Economics Seminar In Cambridge,Michael Hemesath,Summer,24,UK,UK
2004/03,2004/06,English Literature And Theater In London,Susan Jaret McKinstry,Spring,22,UK,UK
2003/12,2004/03,Francophone Studies Seminar In Mali,Chérif Keïta,Winter,20,Mali,Mali
2004/03,2004/06,French Studies In Paris,Cathy Yandell,Spring,20,France,France
2003/08,2003/11,Geology Seminar In Italy,Dave Bice,Fall,25,Italy,Italy
2003/08,2003/11,German Seminar In Berlin,Sigrun Leonhard,Fall,15,Germany,Germany
2003/12,2004/03,"History, Memory, And The Atlantic World",Harry Williams,Winter Break,11,Ghana,Ghana
2003/06,2003/08,Irish Literature And Culture In Ireland,Jim McDonnell,Summer,23,Ireland,Ireland
2003/12,2004/03,Marine Biology Seminar In Australia & New Zealand,Gary Wagenbach,Winter,26,Australia,"Australia, New Zealand"
2004/03,2004/06,"Political Science Seminar In Washington, D.C.",Steven Schier,Spring,19,USA,USA
2003/08,2003/11,Spanish Seminar In Madrid,Humberto Huergo,Fall,19,Spain,Spain
2003/12,2004/03,Spanish Seminar In Puebla,José Cerna Bazan,Winter,20,Mexico,Mexico
