Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
1990/12,1991/03,Archeology & Anthropology In Nepal,James F. Fisher & Nancy Wilkie,Winter,13,Nepal,Nepal
1990/08,1990/11,Art History In Amsterdam,Alison Kettering,Fall,21,The Netherlands,The Netherlands
1990/06,1990/08,Economics Seminar In Cambridge,Robert Will,Summer,22,UK,UK
1990/12,1991/03,English Seminar In London,Keith Harrison,Winter,25,UK,UK
1991/03,1991/06,French Language In Pau I,Scott Carpenter,Spring,23,France,France
1991/03,1991/06,French Seminar In Paris,Geneviève Soulas-Link & Carl Weiner,Spring,22,France,France
1990/08,1990/11,German Seminar In Berlin,Sigrun Leonhard,Fall,16,Germany,Germany
1990/12,1991/03,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,21,USA,USA
1990/12,1991/03,Spanish Seminar In Morelia,Diane Pearsall,Winter,11,Mexico,Mexico
